sat_label,sat_url,sat_Location,sat_zoomScale,sat_Type,sat_Lat-Center,sat_Lon-Center,sat_Lat-NW,sat_Lon-NW,sat_Lat-SE,sat_Lon-SE,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,sat_cl1red,sat_cl2red,sat_cl3red,sat_cl4red,sat_cl1green,sat_cl2green,sat_cl3green,sat_cl4green,sat_cl1blue,sat_cl2blue,sat_cl3blue,sat_cl4blue,sat_cl1size,sat_cl2size,sat_cl3size,sat_cl4size,sat_cl1name,sat_cl2name,sat_cl3name,sat_cl4name
farmCherry1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmCherry1000.png,Cherry Orchid Farm,1000ft,farm,40.322965,-74.728754,40.327795,-74.739312,40.31822,-74.718198,0.003921569,0.133333333,0.22745098,0.254975136,0.349019608,0.878431373,0.15481567,0.003921569,0.223529412,0.337254902,0.339237509,0.454901961,0.890196078,0.150046854,0.011764706,0.145098039,0.2,0.219807573,0.266666667,0.941176471,0.111498234,0.371112290013538,0.211953987542483,0.0937391986598453,0.645686962943453,0.46745935946474,0.319171259139525,0.159711860315882,0.623203344536032,0.280663586500215,0.19072167620607,0.118730314352929,0.54474368362091,0.32798786653185,0.325426969390569,0.288987958452064,0.0575972056255171,palegreen4,gray24,gray12,gray60
farmLawrenceville1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmLawrenceville1000.png,Lawrenceville School’s Big Red Farm,1000ft,farm,40.318704,-74.744964,40.323855,-74.755453,40.314606,-74.734452,0,0.156862745,0.274509804,0.254715006,0.333333333,0.866666667,0.117048281,0,0.274509804,0.403921569,0.364473465,0.450980392,0.862745098,0.124529551,0.003921569,0.156862745,0.2,0.20483217,0.239215686,0.870588235,0.077674118,0.308261989666068,0.172870949557514,0.0797275431299152,0.441826476600981,0.435267243632586,0.293849637865717,0.147870535795477,0.511558131906394,0.223112931464936,0.165190637632139,0.103096044292542,0.351087991951111,0.484759628642338,0.244143763213531,0.156589760088243,0.114506848055887,darkolivegreen,gray21,gray11,darkseagreen4
farmStony1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmStony1000.png,Stony Ford Field Station Farm,1000ft,farm,40.352764,-74.719865,40.357918,-74.730329,40.347739,-74.70929,0.003921569,0.117647059,0.2,0.234438258,0.325490196,0.921568627,0.152188139,0,0.188235294,0.298039216,0.306820848,0.423529412,0.941176471,0.148048434,0,0.121568627,0.17254902,0.197420402,0.243137255,0.929411765,0.118952315,0.20245043394101,0.0889556717810136,0.370820878147894,0.601460656484676,0.30281356175089,0.141835214683868,0.455075771053023,0.568828950661219,0.174361865140172,0.098880983205827,0.27007475010027,0.526673141897817,0.367759904402978,0.318749885099733,0.246798418972332,0.0666917915249563,gray23,gray11,darkolivegreen,gray56
gardenMtLake1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenMtLake1000.png,Mt. Lake,1000ft,garden,40.365934,-74.672103,40.370705,-74.682579,40.361313,-74.661517,0.011764706,0.180392157,0.243137255,0.274770944,0.337254902,0.905882353,0.137369092,0.003921569,0.266666667,0.345098039,0.355466207,0.439215686,0.91372549,0.128481177,0.078431373,0.22745098,0.266666667,0.292661753,0.325490196,0.917647059,0.102876795,0.242348297139589,0.13909134308934,0.388238591680751,0.587569433037663,0.344898996886331,0.207187616506337,0.472321454445009,0.591716633836106,0.26909424999529,0.205515232040173,0.351764745852817,0.542337398192833,0.422875264270613,0.275753286147624,0.216442687747036,0.0849287618347275,gray29,gray18,gray40,gray57
gardenPrinceton1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenPrinceton1000.png,Princeton,1000ft,garden,40.347059,-74.656342,40.351853,-74.666842,40.342372,-74.645788,0.023529412,0.258823529,0.380392157,0.405550222,0.541176471,0.898039216,0.177879128,0.007843137,0.329411765,0.443137255,0.443003333,0.545098039,0.901960784,0.156768963,0.109803922,0.305882353,0.388235294,0.433104384,0.552941176,0.898039216,0.155319086,0.359539872477676,0.208511072196725,0.53573358076087,0.708681185531689,0.427633509858399,0.260414452146218,0.53699685130856,0.703043482841826,0.374355327095815,0.279771935125495,0.54229150314656,0.711784619274918,0.336793822961669,0.288826178876735,0.237529184667708,0.136850813493887,gray39,gray25,gray54,gray71
golfHopewell1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfHopewell1000.png,Hopewell Golf course,1000ft,golf,40.364166,-74.783442,40.369013,-74.793954,40.359555,-74.772848,0,0.164705882,0.266666667,0.294876475,0.423529412,0.929411765,0.159669547,0.003921569,0.262745098,0.37254902,0.366450146,0.478431373,0.925490196,0.139312741,0.011764706,0.184313725,0.247058824,0.264108524,0.329411765,0.945098039,0.112016063,0.227885231849117,0.409234346183406,0.10352093653163,0.574056513544833,0.331612759923874,0.473365741457519,0.177778929414797,0.564712744013786,0.223808784443123,0.321913623001024,0.139710426478183,0.483139248667569,0.334313815608052,0.318514569353801,0.235799246254251,0.111372368783896,gray26,palegreen4,gray14,lightyellow4
golfPrinceton1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfPrinceton1000.png,Princeton golf course,1000ft,golf,40.338103,-74.661537,40.342896,-74.672036,40.333395,-74.650956,0.011764706,0.219607843,0.309803922,0.338492198,0.435294118,0.890196078,0.158266183,0.007843137,0.301960784,0.403921569,0.400673469,0.498039216,0.882352941,0.142873515,0.094117647,0.266666667,0.317647059,0.358012844,0.415686275,0.890196078,0.133344367,0.274547927372021,0.431445592409616,0.159890331339347,0.640978310512928,0.368784074649739,0.48977927089953,0.214170204164153,0.633051037559691,0.297961723599151,0.412744667331023,0.232982921436325,0.642764671706158,0.347390385145694,0.305478444709992,0.231109476973987,0.116021693170328,gray31,darkseagreen4,gray20,gray64
schHopeElem1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeElem1000.png,Hopewell Elemenary,1000ft,school,40.38491,-74.75798,40.38963,-74.768464,40.380318,-74.747441,0,0.184313725,0.345098039,0.351300866,0.521568627,0.941176471,0.198504412,0,0.270588235,0.443137255,0.407415957,0.556862745,0.941176471,0.185839504,0.003921569,0.192156863,0.290196078,0.318773337,0.435294118,0.917647059,0.162294995,0.255958625306257,0.455041255393952,0.087523655552637,0.620310576949488,0.358445672308588,0.514755209454413,0.128105580489825,0.622696497239834,0.235539756177254,0.374431546795418,0.127434475362088,0.560097415973341,0.292616968471367,0.281349388730582,0.217527346263443,0.208506296534608,gray28,darkseagreen4,gray11,gray60
schHopeHS_TimberMS1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeHS_TimberMS1000.png,Hopewell Central HS + Timberlane MS,1000ft,school,40.328281,-74.804559,40.333104,-74.815095,40.323715,-74.793998,0,0.17254902,0.329411765,0.329622532,0.470588235,0.909803922,0.183228567,0,0.262745098,0.396078431,0.373497939,0.470588235,0.905882353,0.15019976,0.015686275,0.184313725,0.278431373,0.302464976,0.380392157,0.91372549,0.150453112,0.462314657084228,0.280219230273096,0.11037347224444,0.631129576270117,0.464121555259979,0.359403248594048,0.186484222956837,0.620220119067551,0.379394115319803,0.250326296078251,0.149012279018443,0.604175320204976,0.314427796672488,0.294815699972424,0.278389557863774,0.112366945491314,gray43,gray30,gray15,gray62
schTollGram1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schTollGram1000.png,Toll Gate Grammer,1000ft,school,40.321026,-74.78868,40.325808,-74.799129,40.316351,-74.778149,0,0.137254902,0.231372549,0.271685604,0.392156863,0.909803922,0.170894891,0.007843137,0.22745098,0.325490196,0.335580325,0.447058824,0.905882353,0.145261227,0.039215686,0.176470588,0.231372549,0.271916882,0.337254902,0.901960784,0.135452515,0.20737078805117,0.391087004619425,0.0841149590697816,0.581359305045626,0.301789106646768,0.438322722436742,0.158961548114639,0.573688618737303,0.218103124095806,0.336845663020325,0.143980108602609,0.547984255399124,0.344224653001195,0.274203511352146,0.258955786377424,0.122616049269234,gray24,gray39,gray13,gray57
