sat_label,sat_url,sat_Location,sat_zoomScale,sat_Type,sat_Lat-Center,sat_Lon-Center,sat_Lat-NW,sat_Lon-NW,sat_Lat-SE,sat_Lon-SE,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,sat_cl1red,sat_cl2red,sat_cl3red,sat_cl4red,sat_cl5red,sat_cl1green,sat_cl2green,sat_cl3green,sat_cl4green,sat_cl5green,sat_cl1blue,sat_cl2blue,sat_cl3blue,sat_cl4blue,sat_cl5blue,sat_cl1size,sat_cl2size,sat_cl3size,sat_cl4size,sat_cl5size,sat_cl1name,sat_cl2name,sat_cl3name,sat_cl4name,sat_cl5name
farmCherry,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmCherry.png,Cherry Orchid Farm,.3mi,farm,40.322965,-74.728754,40.332624,-74.749758,40.313732,-74.707701,0,0.137254902,0.215686275,0.25191335,0.341176471,0.937254902,0.14897944,0,0.22745098,0.325490196,0.33561289,0.443137255,0.933333333,0.139232088,0.003921569,0.149019608,0.196078431,0.221050832,0.262745098,0.937254902,0.110102455,0.177217570182979,0.306206486670061,0.0922102609067704,0.447768702920223,0.652932340792121,0.279104411435617,0.417901876143122,0.158274441108236,0.496686334553243,0.628837077452086,0.176697705663658,0.237810694967321,0.120624061994023,0.339844092091985,0.590543615117853,0.312194135490394,0.274267855501425,0.226686276312161,0.147686368232374,0.0391653644636456,gray21,darkolivegreen,gray12,darkseagreen4,gray62
farmLawrenceville,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmLawrenceville.png,Lawrenceville School’s Big Red Farm,.3mi,farm,40.318704,-74.744964,40.328533,-74.765787,40.30969,-74.723841,0,0.145098039,0.243137255,0.2517942,0.341176471,0.894117647,0.130786464,0,0.243137255,0.349019608,0.341728915,0.443137255,0.894117647,0.127349197,0.007843137,0.152941176,0.203921569,0.216487509,0.258823529,0.898039216,0.09262799,0.29594656107174,0.173740288288221,0.396295888128307,0.0894967327304944,0.585523805224937,0.40914881359906,0.278362008038251,0.471961598545753,0.156585396495331,0.56912660416908,0.227475553417342,0.173431289677726,0.30330983421858,0.116482993812764,0.518453339803143,0.29221435793731,0.291434874528909,0.190366761650887,0.187651438551337,0.0383325673315562,darkolivegreen,gray21,darkolivegreen4,gray12,ivory4
farmStony,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmStony.png,Stony Ford Field Station Farm,.3mi,farm,40.352764,-74.719865,40.363028,-74.74057,40.342669,-74.698661,0,0.125490196,0.188235294,0.224844606,0.298039216,0.984313725,0.138351991,0,0.2,0.282352941,0.296087941,0.388235294,0.992156863,0.134061992,0,0.129411765,0.17254902,0.196867092,0.239215686,0.992156863,0.108559691,0.159462742651793,0.248526858557683,0.0818448492493661,0.397020189285473,0.601045632325286,0.244893129456187,0.347979504474834,0.127960774302062,0.460243271896134,0.574478241346321,0.154051289245095,0.211497850506544,0.0950972215964809,0.295430115058188,0.544222421793145,0.333028771026749,0.229070686643993,0.216030885191654,0.177556760731685,0.0443128964059197,gray19,gray27,gray10,darkolivegreen4,gray57
gardenMtLake,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenMtLake.png,Mt. Lake,.3mi,garden,40.365934,-74.672103,40.375474,-74.693112,40.356519,-74.650875,0.003921569,0.176470588,0.239215686,0.282357361,0.360784314,0.925490196,0.151668212,0.003921569,0.262745098,0.337254902,0.355194447,0.439215686,0.937254902,0.134945,0.047058824,0.219607843,0.262745098,0.30168643,0.341176471,0.937254902,0.128232048,0.222943539082858,0.128952605844006,0.352164728719048,0.507500509871377,0.679023111046901,0.320735333188083,0.194734583236781,0.434903390649674,0.523850065935105,0.673611399160943,0.252484024788161,0.19017739084076,0.335339362427494,0.48075929521074,0.67957337036942,0.39211324570273,0.234751355823146,0.210252780586451,0.116475779023807,0.0464068388638662,darkslategray,gray17,gray38,gray51,gray68
gardenPrinceton,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenPrinceton.png,Princeton,.3mi,garden,40.347059,-74.656342,40.356602,-74.677287,40.337598,-74.635291,0.003921569,0.207843137,0.301960784,0.337206173,0.447058824,0.925490196,0.164197797,0,0.282352941,0.380392157,0.390237165,0.494117647,0.933333333,0.144011196,0.074509804,0.254901961,0.31372549,0.357888834,0.435294118,0.917647059,0.137970566,0.256118825644805,0.392764713526733,0.15335612027074,0.536346131969152,0.686716686512011,0.339967939164091,0.453540526697998,0.20813693050457,0.538738525735084,0.678618296084113,0.287263716172312,0.380342743569161,0.22488694355962,0.522764824333946,0.680769351341325,0.314903943377149,0.235775346998805,0.22779667248828,0.153681404540859,0.0678426325949076,gray29,dimgray,gray20,gray53,gray68
golfHopewell,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfHopewell.png,Hopewell Golf course,.3mi,golf,40.364166,-74.783442,40.373815,-74.804523,40.354771,-74.762368,0,0.160784314,0.235294118,0.281769338,0.396078431,0.949019608,0.158270028,0,0.254901961,0.345098039,0.3549874,0.462745098,0.917647059,0.132802485,0,0.176470588,0.22745098,0.255624951,0.31372549,0.921568627,0.114245163,0.199488044821299,0.33116445742759,0.103329841371344,0.471744934108981,0.621408639762659,0.302101295303932,0.422926606756114,0.178243569114413,0.499585907397497,0.59232112532154,0.203676901749604,0.273840905059696,0.13498555991402,0.374127495936035,0.540161291529203,0.340689401599412,0.218266384778013,0.208006250574501,0.165579556944572,0.0674584061035022,gray23,darkolivegreen,gray14,navajowhite4,gray58
golfPrinceton,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfPrinceton.png,Princeton golf course,.3mi,golf,40.338103,-74.661537,40.347688,-74.682536,40.328815,-74.640488,0.007843137,0.2,0.28627451,0.329407626,0.435294118,0.968627451,0.167347607,0.007843137,0.278431373,0.37254902,0.387890092,0.494117647,0.976470588,0.145400749,0.109803922,0.250980392,0.298039216,0.345232711,0.407843137,0.964705882,0.133731788,0.251919365437081,0.152541754503828,0.393511789510324,0.542552247776383,0.701432946772238,0.340051502674084,0.213462638906872,0.463583389174173,0.543673445820564,0.687068311998094,0.282188161089132,0.223207576605772,0.36895925655806,0.51582537445443,0.671959418549291,0.314006802095781,0.249771118668995,0.233683242945124,0.137347182645464,0.0651916536446365,gray29,gray20,dimgray,ivory4,gray69
schHopeElem,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeElem.png,Hopewell Elemenary,.3mi,school,40.38491,-74.75798,40.394606,-74.779177,40.375683,-74.736848,0,0.164705882,0.274509804,0.320908071,0.48627451,0.941176471,0.187551213,0,0.254901961,0.380392157,0.384290482,0.533333333,0.941176471,0.170926902,0,0.17254902,0.247058824,0.288455059,0.396078431,0.949019608,0.148443915,0.19581706252642,0.49741992496918,0.334497884420904,0.087913243190155,0.631593031770924,0.292352196748659,0.539308216333678,0.428254356248702,0.133306162073898,0.631278590405562,0.194797316879809,0.406819433899208,0.283460653554459,0.118552004769004,0.559851693775362,0.299251769464105,0.206239544075742,0.190767533780678,0.176446364555566,0.127294788123908,gray23,lemonchiffon4,darkolivegreen,gray11,gray61
schHopeHS_TimberMS,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeHS_TimberMS.png,Hopewell Central HS + Timberlane MS,.3mi,school,40.328281,-74.804559,40.33784,-74.825575,40.319148,-74.783438,0,0.156862745,0.282352941,0.299165847,0.42745098,0.960784314,0.165228972,0,0.250980392,0.360784314,0.353255277,0.450980392,0.952941176,0.132527115,0.003921569,0.176470588,0.247058824,0.27004928,0.337254902,0.952941176,0.12594629,0.195174990060685,0.344099559285706,0.47333367760742,0.0922101924134961,0.606724944318599,0.289365040224952,0.405168993243701,0.470398525933156,0.166274258579984,0.589756333224921,0.197280606351529,0.279801076610977,0.381405075747464,0.133783615286021,0.562167837355136,0.279801452339369,0.248215828660723,0.201033183196985,0.195141097527346,0.0758084382755768,gray23,gray34,navajowhite4,gray13,gray59
schTollGram,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schTollGram.png,Toll Gate Grammer,.3mi,school,40.321026,-74.78868,40.330632,-74.809579,40.311546,-74.767619,0,0.152941176,0.254901961,0.280143309,0.388235294,0.960784314,0.158383812,0,0.247058824,0.345098039,0.345860753,0.447058824,0.952941176,0.131762409,0.003921569,0.176470588,0.231372549,0.261731834,0.31372549,0.952941176,0.120515527,0.187734579547811,0.326650547817427,0.0908526966108873,0.454403745160961,0.599755972458969,0.284597099397804,0.407775575210729,0.164607872514514,0.467430341496535,0.581996384708957,0.198281143951888,0.271977226539227,0.138305028356395,0.375583820640588,0.548694728913033,0.304062873425866,0.259727916168766,0.196326868278334,0.161592058093575,0.078290284033459,gray22,darkolivegreen,gray13,gray43,gray58
